Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Munchies,Saffola Gold Refined Cooking Oil (Jar),4.85,7,6,4.49,2000,FALSE,2,medium,12000
Cooking Essentials,24 Mantra Sona Masuri Brown Rice,4.75,10,6,4.23,5000,FALSE,5,bulk,30000
Munchies,24 Mantra Sona Masuri Brown Rice,4.75,10,6,4.23,5000,FALSE,5,bulk,30000
Cooking Essentials,Saffola 100% Pure Honey,4.75,8,2,4.37,1000,FALSE,750,low,2000
Munchies,Saffola 100% Pure Honey,4.75,8,2,4.37,1000,FALSE,750,low,2000
Cooking Essentials,Popular Essentials Pista Salted (With Shell),4.7,21,5,3.71,250,FALSE,250,low,1250
Munchies,Popular Essentials Pista Salted (With Shell),4.7,21,5,3.71,250,FALSE,250,low,1250
"Meats, Fish & Eggs",Fresh Mutton Curry Cut Cubes (Halal),4.65,4,1,4.42,500,FALSE,500,low,500
Cooking Essentials,Aashirvaad Atta,4.6,13,6,3.99,10000,FALSE,10,bulk,60000
Munchies,Aashirvaad Atta,4.6,13,6,3.99,10000,FALSE,10,bulk,60000
Cooking Essentials,Pillsbury Chakki Fresh Atta,4.5,16,6,3.75,10000,FALSE,10,bulk,60000
Munchies,Pillsbury Chakki Fresh Atta,4.5,16,6,3.75,10000,FALSE,10,bulk,60000
Personal Care,Whisper Ultra Clean Wings XL+  Pouch,4.49,7,6,4.15,44,FALSE,44,low,264
Paan Corner,Whisper Ultra Clean Wings XL+  Pouch,4.49,7,6,4.15,44,FALSE,44,low,264
Health & Hygiene,Whisper Ultra Clean Wings XL+  Pouch,4.49,7,6,4.15,44,FALSE,44,low,264
Packaged Food,Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli,4.45,9,6,4.01,750,FALSE,750,low,4500
Ice Cream & Desserts,Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli,4.45,9,6,4.01,750,FALSE,750,low,4500
Chocolates & Candies,Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli,4.45,9,6,4.01,750,FALSE,750,low,4500
Personal Care,Indulekha Bhringa Hair Oil,4.32,15,6,3.67,100,FALSE,100,low,600
Paan Corner,Indulekha Bhringa Hair Oil,4.32,15,6,3.67,100,FALSE,100,low,600
Cooking Essentials,Dabur 100% Pure Honey - Worlds No.1,4.3,10,6,3.87,1000,FALSE,1,low,6000
Munchies,Dabur 100% Pure Honey - Worlds No.1,4.3,10,6,3.87,1000,FALSE,1,low,6000
Cooking Essentials,Popular Essentials Classic Sona Masuri Rice,4.3,10,6,3.87,5000,FALSE,5,bulk,30000
Munchies,Popular Essentials Classic Sona Masuri Rice,4.3,10,6,3.87,5000,FALSE,5,bulk,30000
Packaged Food,"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",4.3,10,6,3.87,1200,FALSE,1,medium,7200
Ice Cream & Desserts,"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",4.3,10,6,3.87,1200,FALSE,1,medium,7200
Chocolates & Candies,"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",4.3,10,6,3.87,1200,FALSE,1,medium,7200
Personal Care,Comfy Baby Pants XL 12-17 kg,4.29,15,1,3.64,24,FALSE,24,low,24
Paan Corner,Comfy Baby Pants XL 12-17 kg,4.29,15,1,3.64,24,FALSE,24,low,24
Cooking Essentials,Delight Nuts Cashew Roasted & Salted,4.25,20,6,3.4,200,FALSE,200,low,1200
Munchies,Delight Nuts Cashew Roasted & Salted,4.25,20,6,3.4,200,FALSE,200,low,1200
Cooking Essentials,Delight Nuts Pista Roasted & Salted,4.25,20,6,3.4,200,FALSE,200,low,1200
Munchies,Delight Nuts Pista Roasted & Salted,4.25,20,6,3.4,200,FALSE,200,low,1200
Packaged Food,Kellogg's Corn Flakes,4.25,9,1,3.83,1000,FALSE,1,low,1000
Ice Cream & Desserts,Kellogg's Corn Flakes,4.25,9,1,3.83,1000,FALSE,1,low,1000
Chocolates & Candies,Kellogg's Corn Flakes,4.25,9,1,3.83,1000,FALSE,1,low,1000
Packaged Food,Kellogg's Muesli Nuts Delight,4.25,9,3,3.83,750,FALSE,750,low,2250
Ice Cream & Desserts,Kellogg's Muesli Nuts Delight,4.25,9,3,3.83,750,FALSE,750,low,2250
Chocolates & Candies,Kellogg's Muesli Nuts Delight,4.25,9,3,3.83,750,FALSE,750,low,2250
Personal Care,Nivea Body Shea Smooth with Shea Butter for Dry Skin,4.25,20,5,3.4,400,FALSE,9,low,2000
Paan Corner,Nivea Body Shea Smooth with Shea Butter for Dry Skin,4.25,20,5,3.4,400,FALSE,9,low,2000
Health & Hygiene,Dabur Chyawanprakash - Sugar Free,4.15,7,6,3.85,900,FALSE,900,low,5400
Cooking Essentials,24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle,4.1,10,6,3.69,1000,FALSE,1,low,6000
Munchies,24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle,4.1,10,6,3.69,1000,FALSE,1,low,6000
Packaged Food,Whiskas Adult Pocket Tuna Cat Food,4.1,0,1,4.1,1200,FALSE,1,medium,1200
